study,experiment,n_initial,n_excluded,n,design,design_note,presentation,framing,source,a,b,c,d,pEC,pE_noC,deltaP,power,pC,pE,w_deltaP,Pearce,HPN,support_noisy_or,spport_noisy_and_not,EI,RW, rating,question,scale,anchors,reference,note,,,,,,,,,,,,,,,
Wasserman et al. (1996),1,,,100,mixed-design,condition running-estimate group or final-estimate group was between-subject; the 21 different contingency problems were within-subjects,trial-by-trial,bidirectional,Table 1,6,6,2,6,0.50,0.25,0.25,0.33,0.60,0.40,0.30,0.34,0.30,0.04,-1.24,0.24,0.24,18,"First, all participants were asked to estimate their expectations of the ability of the fertilizer to affect the Lanyu’s blooming. The running-estimate group evaluated after every trial, the final-estimate group evaluated all results after the last trial.",-10 - + 10,-10 = fertilizer  may have a strong negative effect on the Lanyu’s blooming; 0 = fertilizer may have no effect on the Lanyu’s blooming; 10 = fertilizer may have a strong positive effect on the Lanyu’s blooming,"Wasserman, E. A., Kao, S.-F., Van-Hamme, L. J., Katagiri, M., & Young, M. E. (1996). Causation and association. In D. R. Shanks, K. J. Holyoak, & D. L. Medin (Eds.), The psychology of learning and motivation: Vol. 34. Causal learning (pp. 207-264). San Diego: Academic Press.",,,,,,,,,,,,,,,,
Wasserman et al. (1996),1,,,100,mixed-design,condition running-estimate group or final-estimate group was between-subject; the 21 different contingency problems were within-subjects,trial-by-trial,bidirectional,Table 1,6,6,6,2,0.50,0.75,-0.25,-0.33,0.60,0.60,-0.11,-0.13,-0.19,-1.24,0.04,-0.01,-0.26,-6,"First, all participants were asked to estimate their expectations of the ability of the fertilizer to affect the Lanyu’s blooming. The running-estimate group evaluated after every trial, the final-estimate group evaluated all results after the last trial.",-10 - + 10,-10 = fertilizer  may have a strong negative effect on the Lanyu’s blooming; 0 = fertilizer may have no effect on the Lanyu’s blooming; 10 = fertilizer may have a strong positive effect on the Lanyu’s blooming,"Wasserman, E. A., Kao, S.-F., Van-Hamme, L. J., Katagiri, M., & Young, M. E. (1996). Causation and association. In D. R. Shanks, K. J. Holyoak, & D. L. Medin (Eds.), The psychology of learning and motivation: Vol. 34. Causal learning (pp. 207-264). San Diego: Academic Press.",,,,,,,,,,,,,,,,
Wasserman et al. (1996),1,,,100,mixed-design,condition running-estimate group or final-estimate group was between-subject; the 21 different contingency problems were within-subjects,trial-by-trial,bidirectional,Table 1,18,6,6,6,0.75,0.50,0.25,0.50,0.67,0.67,0.35,0.39,0.40,0.79,-2.14,0.49,0.26,60,"First, all participants were asked to estimate their expectations of the ability of the fertilizer to affect the Lanyu’s blooming. The running-estimate group evaluated after every trial, the final-estimate group evaluated all results after the last trial.",-10 - + 10,-10 = fertilizer  may have a strong negative effect on the Lanyu’s blooming; 0 = fertilizer may have no effect on the Lanyu’s blooming; 10 = fertilizer may have a strong positive effect on the Lanyu’s blooming,"Wasserman, E. A., Kao, S.-F., Van-Hamme, L. J., Katagiri, M., & Young, M. E. (1996). Causation and association. In D. R. Shanks, K. J. Holyoak, & D. L. Medin (Eds.), The psychology of learning and motivation: Vol. 34. Causal learning (pp. 207-264). San Diego: Academic Press.",,,,,,,,,,,,,,,,
Wasserman et al. (1996),1,,,100,mixed-design,condition running-estimate group or final-estimate group was between-subject; the 21 different contingency problems were within-subjects,trial-by-trial,bidirectional,Table 1,6,18,6,6,0.25,0.50,-0.25,-0.50,0.67,0.33,-0.16,-0.18,-0.31,-2.13,0.79,-0.29,-0.24,-52,"First, all participants were asked to estimate their expectations of the ability of the fertilizer to affect the Lanyu’s blooming. The running-estimate group evaluated after every trial, the final-estimate group evaluated all results after the last trial.",-10 - + 10,-10 = fertilizer  may have a strong negative effect on the Lanyu’s blooming; 0 = fertilizer may have no effect on the Lanyu’s blooming; 10 = fertilizer may have a strong positive effect on the Lanyu’s blooming,"Wasserman, E. A., Kao, S.-F., Van-Hamme, L. J., Katagiri, M., & Young, M. E. (1996). Causation and association. In D. R. Shanks, K. J. Holyoak, & D. L. Medin (Eds.), The psychology of learning and motivation: Vol. 34. Causal learning (pp. 207-264). San Diego: Academic Press.",,,,,,,,,,,,,,,,
Wasserman et al. (1996),1,,,100,mixed-design,condition running-estimate group or final-estimate group was between-subject; the 21 different contingency problems were within-subjects,trial-by-trial,bidirectional,Table 1,6,6,18,6,0.50,0.75,-0.25,-0.33,0.33,0.67,-0.11,-0.13,-0.19,-1.49,0.37,-0.20,-0.26,-22,"First, all participants were asked to estimate their expectations of the ability of the fertilizer to affect the Lanyu’s blooming. The running-estimate group evaluated after every trial, the final-estimate group evaluated all results after the last trial.",-10 - + 10,-10 = fertilizer  may have a strong negative effect on the Lanyu’s blooming; 0 = fertilizer may have no effect on the Lanyu’s blooming; 10 = fertilizer may have a strong positive effect on the Lanyu’s blooming,"Wasserman, E. A., Kao, S.-F., Van-Hamme, L. J., Katagiri, M., & Young, M. E. (1996). Causation and association. In D. R. Shanks, K. J. Holyoak, & D. L. Medin (Eds.), The psychology of learning and motivation: Vol. 34. Causal learning (pp. 207-264). San Diego: Academic Press.",,,,,,,,,,,,,,,,
Wasserman et al. (1996),1,,,100,mixed-design,condition running-estimate group or final-estimate group was between-subject; the 21 different contingency problems were within-subjects,trial-by-trial,bidirectional,Table 1,6,6,6,18,0.50,0.25,0.25,0.33,0.33,0.33,0.30,0.34,0.30,0.38,-1.49,0.31,0.24,23,"First, all participants were asked to estimate their expectations of the ability of the fertilizer to affect the Lanyu’s blooming. The running-estimate group evaluated after every trial, the final-estimate group evaluated all results after the last trial.",-10 - + 10,-10 = fertilizer  may have a strong negative effect on the Lanyu’s blooming; 0 = fertilizer may have no effect on the Lanyu’s blooming; 10 = fertilizer may have a strong positive effect on the Lanyu’s blooming,"Wasserman, E. A., Kao, S.-F., Van-Hamme, L. J., Katagiri, M., & Young, M. E. (1996). Causation and association. In D. R. Shanks, K. J. Holyoak, & D. L. Medin (Eds.), The psychology of learning and motivation: Vol. 34. Causal learning (pp. 207-264). San Diego: Academic Press.",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
