id,study,experiment,n,framing,N_11,N_10,N_01,N_00,pEC,pEnoC,deltaP,power,sample_direction,rating,reference
311,White (2004),1,42,bidirectional,2,6,8,24,0.25,0.25,0,0,zero,-19.43,"White, P. A. (2004). Causal judgment from contingency information: A systematic test of the pCI rule. Memory & Cognition, 32(3), 353-368."
312,White (2004),1,42,bidirectional,4,12,6,18,0.25,0.25,0,0,zero,-11.64,"White, P. A. (2004). Causal judgment from contingency information: A systematic test of the pCI rule. Memory & Cognition, 32(3), 353-368."
313,White (2004),1,42,bidirectional,6,18,4,12,0.25,0.25,0,0,zero,-23.19,"White, P. A. (2004). Causal judgment from contingency information: A systematic test of the pCI rule. Memory & Cognition, 32(3), 353-368."
314,White (2004),1,42,bidirectional,8,24,2,6,0.25,0.25,0,0,zero,-34.57,"White, P. A. (2004). Causal judgment from contingency information: A systematic test of the pCI rule. Memory & Cognition, 32(3), 353-368."
315,White (2004),1,42,bidirectional,1,7,4,28,0.125,0.125,0,0,zero,-16.79,"White, P. A. (2004). Causal judgment from contingency information: A systematic test of the pCI rule. Memory & Cognition, 32(3), 353-368."
316,White (2004),1,42,bidirectional,2,14,3,21,0.125,0.125,0,0,zero,-22.64,"White, P. A. (2004). Causal judgment from contingency information: A systematic test of the pCI rule. Memory & Cognition, 32(3), 353-368."
317,White (2004),1,42,bidirectional,3,21,2,14,0.125,0.125,0,0,zero,-34.95,"White, P. A. (2004). Causal judgment from contingency information: A systematic test of the pCI rule. Memory & Cognition, 32(3), 353-368."
318,White (2004),1,42,bidirectional,4,28,1,7,0.125,0.125,0,0,zero,-43.48,"White, P. A. (2004). Causal judgment from contingency information: A systematic test of the pCI rule. Memory & Cognition, 32(3), 353-368."
319,White (2004),2,42,bidirectional,6,2,0,32,0.75,0,0.75,0.75,generative,68.36,"White, P. A. (2004). Causal judgment from contingency information: A systematic test of the pCI rule. Memory & Cognition, 32(3), 353-368."
320,White (2004),2,42,bidirectional,6,2,8,24,0.75,0.25,0.5,0.6666666666666666,generative,22.81,"White, P. A. (2004). Causal judgment from contingency information: A systematic test of the pCI rule. Memory & Cognition, 32(3), 353-368."
321,White (2004),2,42,bidirectional,6,2,16,16,0.75,0.5,0.25,0.5,generative,13.14,"White, P. A. (2004). Causal judgment from contingency information: A systematic test of the pCI rule. Memory & Cognition, 32(3), 353-368."
322,White (2004),2,42,bidirectional,6,2,24,8,0.75,0.75,0,0,zero,-10.55,"White, P. A. (2004). Causal judgment from contingency information: A systematic test of the pCI rule. Memory & Cognition, 32(3), 353-368."
323,White (2004),2,42,bidirectional,6,2,32,0,0.75,1,-0.25,0.25,preventive,-34.07,"White, P. A. (2004). Causal judgment from contingency information: A systematic test of the pCI rule. Memory & Cognition, 32(3), 353-368."
324,White (2004),2,42,bidirectional,15,5,0,20,0.75,0,0.75,0.75,generative,63.02,"White, P. A. (2004). Causal judgment from contingency information: A systematic test of the pCI rule. Memory & Cognition, 32(3), 353-368."
325,White (2004),2,42,bidirectional,15,5,5,15,0.75,0.25,0.5,0.6666666666666666,generative,52.14,"White, P. A. (2004). Causal judgment from contingency information: A systematic test of the pCI rule. Memory & Cognition, 32(3), 353-368."
326,White (2004),2,42,bidirectional,15,5,10,10,0.75,0.5,0.25,0.5,generative,28.81,"White, P. A. (2004). Causal judgment from contingency information: A systematic test of the pCI rule. Memory & Cognition, 32(3), 353-368."
327,White (2004),2,42,bidirectional,15,5,15,5,0.75,0.75,0,0,zero,6.79,"White, P. A. (2004). Causal judgment from contingency information: A systematic test of the pCI rule. Memory & Cognition, 32(3), 353-368."
328,White (2004),2,42,bidirectional,15,5,20,0,0.75,1,-0.25,0.25,preventive,-1.74,"White, P. A. (2004). Causal judgment from contingency information: A systematic test of the pCI rule. Memory & Cognition, 32(3), 353-368."
329,White (2004),2,42,bidirectional,24,8,0,8,0.75,0,0.75,0.75,generative,65.62,"White, P. A. (2004). Causal judgment from contingency information: A systematic test of the pCI rule. Memory & Cognition, 32(3), 353-368."
330,White (2004),2,42,bidirectional,24,8,2,6,0.75,0.25,0.5,0.6666666666666666,generative,54.36,"White, P. A. (2004). Causal judgment from contingency information: A systematic test of the pCI rule. Memory & Cognition, 32(3), 353-368."
331,White (2004),2,42,bidirectional,24,8,4,4,0.75,0.5,0.25,0.5,generative,44.79,"White, P. A. (2004). Causal judgment from contingency information: A systematic test of the pCI rule. Memory & Cognition, 32(3), 353-368."
332,White (2004),2,42,bidirectional,24,8,6,2,0.75,0.75,0,0,zero,39.29,"White, P. A. (2004). Causal judgment from contingency information: A systematic test of the pCI rule. Memory & Cognition, 32(3), 353-368."
333,White (2004),2,42,bidirectional,24,8,8,0,0.75,1,-0.25,0.25,preventive,7.12,"White, P. A. (2004). Causal judgment from contingency information: A systematic test of the pCI rule. Memory & Cognition, 32(3), 353-368."
334,White (2004),2,42,bidirectional,4,4,0,32,0.5,0,0.5,0.5,generative,42.71,"White, P. A. (2004). Causal judgment from contingency information: A systematic test of the pCI rule. Memory & Cognition, 32(3), 353-368."
335,White (2004),2,42,bidirectional,4,4,8,24,0.5,0.25,0.25,0.3333333333333333,generative,13.64,"White, P. A. (2004). Causal judgment from contingency information: A systematic test of the pCI rule. Memory & Cognition, 32(3), 353-368."
336,White (2004),2,42,bidirectional,4,4,16,16,0.5,0.5,0,0,zero,-2.9,"White, P. A. (2004). Causal judgment from contingency information: A systematic test of the pCI rule. Memory & Cognition, 32(3), 353-368."
337,White (2004),2,42,bidirectional,4,4,24,8,0.5,0.75,-0.25,0.3333333333333333,preventive,-21.38,"White, P. A. (2004). Causal judgment from contingency information: A systematic test of the pCI rule. Memory & Cognition, 32(3), 353-368."
338,White (2004),2,42,bidirectional,4,4,24,8,0.5,0.75,-0.25,0.3333333333333333,preventive,-51,"White, P. A. (2004). Causal judgment from contingency information: A systematic test of the pCI rule. Memory & Cognition, 32(3), 353-368."
339,White (2004),2,42,bidirectional,10,10,0,20,0.5,0,0.5,0.5,generative,31.26,"White, P. A. (2004). Causal judgment from contingency information: A systematic test of the pCI rule. Memory & Cognition, 32(3), 353-368."
340,White (2004),2,42,bidirectional,10,10,5,15,0.5,0.25,0.25,0.3333333333333333,generative,16.29,"White, P. A. (2004). Causal judgment from contingency information: A systematic test of the pCI rule. Memory & Cognition, 32(3), 353-368."
341,White (2004),2,42,bidirectional,10,10,10,10,0.5,0.5,0,0,zero,0.5,"White, P. A. (2004). Causal judgment from contingency information: A systematic test of the pCI rule. Memory & Cognition, 32(3), 353-368."
342,White (2004),2,42,bidirectional,10,10,15,5,0.5,0.75,-0.25,0.3333333333333333,preventive,-3.21,"White, P. A. (2004). Causal judgment from contingency information: A systematic test of the pCI rule. Memory & Cognition, 32(3), 353-368."
343,White (2004),2,42,bidirectional,10,10,20,0,0.5,1,-0.5,0.5,preventive,-35.12,"White, P. A. (2004). Causal judgment from contingency information: A systematic test of the pCI rule. Memory & Cognition, 32(3), 353-368."
344,White (2004),2,42,bidirectional,16,16,0,8,0.5,0,0.5,0.5,generative,29.98,"White, P. A. (2004). Causal judgment from contingency information: A systematic test of the pCI rule. Memory & Cognition, 32(3), 353-368."
345,White (2004),2,42,bidirectional,16,16,2,6,0.5,0.25,0.25,0.3333333333333333,generative,18.87,"White, P. A. (2004). Causal judgment from contingency information: A systematic test of the pCI rule. Memory & Cognition, 32(3), 353-368."
346,White (2004),2,42,bidirectional,16,16,4,4,0.5,0.5,0,0,zero,11.19,"White, P. A. (2004). Causal judgment from contingency information: A systematic test of the pCI rule. Memory & Cognition, 32(3), 353-368."
347,White (2004),2,42,bidirectional,16,16,6,2,0.5,0.75,-0.25,0.3333333333333333,preventive,-1.98,"White, P. A. (2004). Causal judgment from contingency information: A systematic test of the pCI rule. Memory & Cognition, 32(3), 353-368."
348,White (2004),2,42,bidirectional,16,16,8,0,0.5,1,-0.5,0.5,preventive,4.1,"White, P. A. (2004). Causal judgment from contingency information: A systematic test of the pCI rule. Memory & Cognition, 32(3), 353-368."
